样本索引,阈值,置信度,是否正确,平滑置信度
1,0.200,0.500,是,0.000
2,0.200,0.500,是,0.000
3,0.200,0.500,是,0.000
4,0.200,0.500,是,0.000
5,0.200,0.500,是,0.000
6,0.200,0.500,是,0.000
7,0.200,0.500,是,0.000
8,0.200,0.500,是,0.000
9,0.200,0.500,是,0.000
10,0.200,0.500,是,0.000
11,0.200,0.500,是,0.000
12,0.200,0.500,是,0.000
13,0.200,0.500,是,0.000
14,0.200,0.500,是,0.000
15,0.200,0.500,是,0.000
16,0.220,0.500,否,0.000
17,0.220,0.500,是,0.000
18,0.220,0.500,是,0.000
19,0.240,0.500,是,0.000
20,0.260,0.500,是,0.000
21,0.280,0.000,是,0.000
22,0.300,0.000,是,0.000
23,0.370,0.000,否,0.000
24,0.440,0.000,是,0.000
25,0.500,0.000,否,0.000
26,0.500,0.000,是,0.000
27,0.500,0.000,是,0.000
28,0.500,0.000,是,0.000
29,0.500,0.000,是,0.000
30,0.500,0.000,是,0.000
31,0.500,0.000,是,0.000
32,0.500,0.000,是,0.000
33,0.500,0.000,否,0.000
34,0.500,0.000,否,0.000
35,0.500,0.000,否,0.000
36,0.500,0.000,是,0.000
37,0.500,0.000,是,0.000
38,0.500,0.000,是,0.000
39,0.500,0.000,否,0.000
40,0.500,0.000,否,0.000
41,0.500,0.000,否,0.000
42,0.500,0.000,否,0.000
43,0.500,0.000,否,0.000
44,0.500,0.000,是,0.000
45,0.500,0.000,是,0.000
46,0.500,0.000,否,0.000
47,0.500,0.000,否,0.000
48,0.500,0.000,是,0.000
49,0.500,0.000,是,0.000
50,0.500,0.000,是,0.000
51,0.500,0.000,否,0.000
52,0.500,0.000,是,0.000
53,0.500,0.000,否,0.000
54,0.500,0.000,是,0.000
55,0.500,0.000,是,0.000
56,0.500,0.000,是,0.000
57,0.500,0.000,是,0.000
58,0.500,0.000,是,0.000
59,0.500,0.000,是,0.000
60,0.500,0.000,是,0.000
61,0.500,0.000,是,0.000
62,0.500,0.000,是,0.000
63,0.500,0.000,否,0.000
64,0.500,0.000,是,0.000
65,0.500,0.000,是,0.000
66,0.500,0.000,是,0.000
67,0.500,0.000,是,0.000
68,0.500,0.000,是,0.000
69,0.500,0.000,是,0.000
70,0.500,0.000,是,0.000
71,0.500,0.000,否,0.000
72,0.500,0.000,是,0.000
73,0.500,0.000,否,0.000
74,0.500,0.000,是,0.000
75,0.500,0.000,是,0.000
76,0.500,0.000,否,0.000
77,0.500,0.000,是,0.000
78,0.500,0.000,是,0.000
79,0.500,0.000,是,0.000
80,0.500,0.000,否,0.000
81,0.500,0.000,是,0.000
82,0.500,0.000,是,0.000
83,0.500,0.000,是,0.000
84,0.500,0.000,是,0.000
85,0.500,0.000,是,0.000
86,0.500,0.000,否,0.000
87,0.500,0.000,是,0.000
88,0.500,0.000,是,0.000
89,0.500,0.000,否,0.000
90,0.500,0.000,是,0.000
91,0.500,0.000,否,0.000
92,0.500,0.000,否,0.000
93,0.500,0.000,是,0.000
94,0.500,0.000,是,0.000
95,0.500,0.000,否,0.500
