样本索引,阈值,最大置信度,是否通过验证,是否正确,平滑置信度,验证状态,是否用于更新
1,0.200,0.262,是,是,0.000,通过验证,是
2,0.200,0.305,是,是,0.000,通过验证,是
3,0.200,0.233,是,是,0.000,通过验证,是
4,0.200,0.182,否,是,0.000,未通过,是
5,0.200,0.219,是,是,0.000,通过验证,是
6,0.200,0.335,是,是,0.000,通过验证,是
7,0.225,0.206,否,否,0.000,未通过,是
8,0.225,0.226,是,是,0.000,通过验证,是
9,0.225,0.230,是,是,0.000,通过验证,是
10,0.225,0.000,否,是,0.000,未通过,是
11,0.225,0.203,否,是,0.000,未通过,是
12,0.225,0.244,是,是,0.000,通过验证,是
13,0.225,0.352,是,是,0.000,通过验证,是
14,0.225,0.317,是,是,0.000,通过验证,是
15,0.250,0.000,否,是,0.000,未通过,是
16,0.250,0.229,否,是,0.000,未通过,是
17,0.250,0.271,是,是,0.000,通过验证,是
18,0.250,0.214,否,是,0.000,未通过,是
19,0.250,0.221,否,是,0.000,未通过,是
20,0.250,0.253,是,是,0.000,通过验证,是
21,0.250,0.260,是,是,0.000,通过验证,是
22,0.250,0.000,否,是,0.000,未通过,是
23,0.250,0.288,是,是,0.000,通过验证,是
24,0.250,0.220,否,是,0.000,未通过,是
25,0.250,0.245,否,否,0.000,未通过,是
26,0.250,0.326,是,是,0.000,通过验证,是
27,0.250,0.289,是,是,0.000,通过验证,是
28,0.250,0.000,否,是,0.000,未通过,是
29,0.250,0.259,是,是,0.000,通过验证,是
30,0.250,0.316,是,是,0.000,通过验证,是
31,0.250,0.226,否,是,0.000,未通过,是
32,0.250,0.222,否,是,0.000,未通过,是
33,0.250,0.279,是,是,0.000,通过验证,是
34,0.250,0.248,否,否,0.000,未通过,是
35,0.250,0.249,否,否,0.000,未通过,是
36,0.250,0.202,否,是,0.000,未通过,是
37,0.250,0.188,否,是,0.000,未通过,是
38,0.250,0.297,是,是,0.000,通过验证,是
39,0.250,0.374,是,是,0.000,通过验证,是
40,0.250,0.304,是,是,0.000,通过验证,是
41,0.250,0.233,否,否,0.000,未通过,是
42,0.250,0.296,是,是,0.000,通过验证,是
43,0.275,0.309,是,是,0.000,通过验证,是
44,0.275,0.277,是,是,0.000,通过验证,是
45,0.275,0.167,否,是,0.000,未通过,否
46,0.275,0.366,是,是,0.000,通过验证,否
47,0.275,0.232,否,否,0.000,未通过,否
48,0.275,0.231,否,是,0.000,未通过,否
49,0.275,0.246,否,是,0.000,未通过,否
50,0.275,0.268,否,是,0.000,未通过,否
51,0.275,0.279,是,否,0.000,通过验证,否
52,0.275,0.268,否,是,0.000,未通过,否
53,0.275,0.291,是,是,0.000,通过验证,否
54,0.275,0.184,否,是,0.000,未通过,否
55,0.275,0.234,否,是,0.000,未通过,否
56,0.275,0.192,否,是,0.000,未通过,否
57,0.275,0.277,是,是,0.000,通过验证,否
58,0.275,0.211,否,是,0.000,未通过,否
59,0.275,0.195,否,是,0.000,未通过,否
60,0.275,0.288,是,是,0.000,通过验证,否
61,0.275,0.253,否,是,0.000,未通过,否
62,0.275,0.273,否,是,0.000,未通过,否
63,0.275,0.286,是,是,0.000,通过验证,否
64,0.275,0.361,是,是,0.000,通过验证,否
65,0.275,0.213,否,是,0.000,未通过,否
66,0.275,0.202,否,是,0.000,未通过,否
67,0.275,0.227,否,是,0.000,未通过,否
68,0.275,0.247,否,是,0.000,未通过,否
69,0.275,0.206,否,是,0.000,未通过,否
70,0.275,0.220,否,是,0.000,未通过,否
71,0.275,0.311,是,是,0.000,通过验证,否
72,0.275,0.323,是,是,0.000,通过验证,否
73,0.275,0.235,否,否,0.000,未通过,否
74,0.275,0.216,否,是,0.000,未通过,否
75,0.275,0.218,否,是,0.000,未通过,否
76,0.275,0.244,否,否,0.000,未通过,否
77,0.275,0.207,否,是,0.000,未通过,否
78,0.275,0.000,否,是,0.000,未通过,否
79,0.275,0.284,是,是,0.000,通过验证,否
80,0.275,0.315,是,是,0.000,通过验证,否
81,0.275,0.234,否,否,0.000,未通过,否
82,0.275,0.310,是,是,0.000,通过验证,否
83,0.275,0.189,否,是,0.000,未通过,否
84,0.275,0.281,是,是,0.000,通过验证,否
85,0.275,0.234,否,否,0.000,未通过,否
86,0.275,0.263,否,否,0.000,未通过,否
87,0.275,0.260,否,否,0.000,未通过,否
88,0.275,0.263,否,是,0.000,未通过,否
89,0.275,0.275,否,是,0.000,未通过,否
90,0.275,0.350,是,是,0.000,通过验证,否
91,0.275,0.364,是,是,0.000,通过验证,否
92,0.275,0.308,是,是,0.000,通过验证,否
93,0.275,0.268,否,是,0.000,未通过,否
94,0.275,0.259,否,否,0.000,未通过,否
95,0.275,0.253,否,是,0.000,未通过,否
96,0.275,0.280,是,是,0.000,通过验证,否
97,0.275,0.207,否,是,0.000,未通过,否
98,0.275,0.224,否,是,0.000,未通过,否
99,0.275,0.271,否,是,0.000,未通过,否
100,0.275,0.248,否,否,0.000,未通过,否
101,0.275,0.309,是,是,0.000,通过验证,否
102,0.275,0.164,否,是,0.000,未通过,否
103,0.275,0.300,是,是,0.000,通过验证,否
104,0.275,0.217,否,是,0.000,未通过,否
105,0.275,0.245,否,否,0.000,未通过,否
106,0.275,0.218,否,否,0.000,未通过,否
107,0.275,0.239,否,是,0.000,未通过,否
108,0.275,0.161,否,是,0.000,未通过,否
109,0.275,0.248,否,否,0.307,未通过,否
